ClaseNombre,ChoqueNombre,ObjetoFijoCodigo,ObjetoFijoNombre,OtraClase,NombreOtraClase,Latitud,Longitud,Direccion,",Bogota , colombia",dir,TipoVia1,NumeroVia1,LetraVia1,CardinalVia1,TipoVia2,NumeroVia2,LetraVia2,CardinalVia2,Localidad,HoraOcurrencia,TipoDiseño,TipoTiempo,TotalMuertos,TotalHeridos,CausaConductorIDesc,CausaConductorIIDesc
Choque,Vehiculo, , , , ,0,0,AV AVENIDA CARACAS-CL 23 S 33,",Bogota,Colombia","AV AVENIDA CARACAS-CL 23 S 33,Bogota,Colombia",AV,AVENIDA CARACAS, , ,CL,23, ,S,RAFAEL URIBE URIBE,12/31/1899 10:45:00 AM,Tramo de Via,Normal,0,0,ADELANTAR INVADIENDO CARRIL DEL MISMO SENTIDO EN ZIG-ZAG, 
Choque,Vehiculo, , , , ,0,0,AV AVENIDA CARACAS-CL 47 02,",Bogota,Colombia","AV AVENIDA CARACAS-CL 47 02,Bogota,Colombia",AV,AVENIDA CARACAS, , ,CL,47, , ,CHAPINERO,12/31/1899 09:10:00 AM,Interseccion,Normal,0,2,SEMÁFORO EN ROJO,SEMÁFORO EN ROJO
Choque,Vehiculo, , , , ,0,0,CL 79B-KR 56BIS 02,",Bogota,Colombia","CL 79B-KR 56BIS 02,Bogota,Colombia",CL,79,B, ,KR,56, , ,BARRIOS UNIDOS,12/31/1899 11:10:00 AM,Interseccion,Normal,0,0,DESOBEDECER SEÑALES, 
Atropello, , , , , ,0,0,CL 145-KR 113C 02,",Bogota,Colombia","CL 145-KR 113C 02,Bogota,Colombia",CL,145, , ,KR,113,C, ,SUBA,12/31/1899 06:50:00 PM,Tramo de Via,Normal,0,1, , 
Choque,Vehiculo, , , , ,0,0,TR 87C-CL 58C S 02,",Bogota,Colombia","TR 87C-CL 58C S 02,Bogota,Colombia",TR,87,C, ,CL,58,C,S,BOSA,12/31/1899 11:40:00 AM,Interseccion,Lluvia,0,0,ADELANTAR INVADIENDO VIA, 
Choque,Vehiculo, , , , ,0,0,KR 68-CL 46A 02,",Bogota,Colombia","KR 68-CL 46A 02,Bogota,Colombia",KR,68, , ,CL,46,A, ,TEUSAQUILLO,12/31/1899 12:30:00 PM,Tramo de Via,Normal,0,0,ADELANTAR CERRANDO, 
Choque,Vehiculo, , , , ,0,0,CL 11-KR 70A 02,",Bogota,Colombia","CL 11-KR 70A 02,Bogota,Colombia",CL,11, , ,KR,70,A, ,CHAPINERO,12/31/1899 06:00:00 AM,Interseccion,Normal,0,1,SEMÁFORO EN ROJO,SEMÁFORO EN ROJO
Choque,Vehiculo, , , , ,0,0,CL 13-KR 69B 02,",Bogota,Colombia","CL 13-KR 69B 02,Bogota,Colombia",CL,13, , ,KR,69,B, ,FONTIBON,12/31/1899 05:40:00 AM,Tramo de Via,Normal,0,0,NO MANTENER DISTANCIA DE SEGURIDAD, 
Atropello, , , , , ,0,0,CL 64-KR 11 02,",Bogota,Colombia","CL 64-KR 11 02,Bogota,Colombia",CL,64, , ,KR,11, , ,CHAPINERO,12/31/1899 02:25:00 PM,Interseccion,Normal,0,1, , 
Choque,Vehiculo, , , , ,0,0,KR 5-CL 74BIS 02,",Bogota,Colombia","KR 5-CL 74BIS 02,Bogota,Colombia",KR,5, , ,CL,74, , ,CHAPINERO,12/31/1899 01:00:00 PM,Lote o predio,Normal,0,0,REVERSO IMPRUDENTE, 
